gene,term
SLC7A2,Arginine and Proline Metabolism
SLC7A3,Arginine and Proline Metabolism
SLC7A5,Arginine and Proline Metabolism
SLC7A6,Arginine and Proline Metabolism
SLC7A7,Arginine and Proline Metabolism
SLC2A10,Ascorbate uptake
SLC23A1,Ascorbate uptake
SLC23A2,Ascorbate uptake
UPB1,beta-Alanine metabolism
ABP1,beta-Alanine metabolism
AOC2,beta-Alanine metabolism
AOC3,beta-Alanine metabolism
CNDP1,beta-Alanine metabolism
HIBCH,beta-Alanine metabolism
SLC6A6,beta-Alanine metabolism
ABCB11,Bile Acid Biosynthesis
ABCC3,Bile Acid Biosynthesis
ACOX2,Bile Acid Biosynthesis
AKR1D1,Bile Acid Biosynthesis
AMACR,Bile Acid Biosynthesis
BAAT,Bile Acid Biosynthesis
CH25H,Bile Acid Biosynthesis
CYP27A1,Bile Acid Biosynthesis
CYP39A1,Bile Acid Biosynthesis
CYP46A1,Bile Acid Biosynthesis
CYP7A1,Bile Acid Biosynthesis
HSD17B4,Bile Acid Biosynthesis
HSD3B7,Bile Acid Biosynthesis
SCP2,Bile Acid Biosynthesis
SLC10A1,Bile Acid Biosynthesis
SLC10A2,Bile Acid Biosynthesis
SLC27A2,Bile Acid Biosynthesis
SLCO1A2,Bile Acid Biosynthesis
SLCO1B1,Bile Acid Biosynthesis
SLCO1B3,Bile Acid Biosynthesis
SLCO2B1,Bile Acid Biosynthesis
SLCO4A1,Bile Acid Biosynthesis
BTD,Biotin Metabolism
HLCS,Biotin Metabolism
SLC16A1,Biotin Metabolism
SLC19A3,Biotin Metabolism
SLC5A6,Biotin Metabolism
ABO,Blood Group Biosynthesis
B3GNT2,Blood Group Biosynthesis
B3GNT3,Blood Group Biosynthesis
B3GNT5,Blood Group Biosynthesis
FUT1,Blood Group Biosynthesis
FUT3,Blood Group Biosynthesis
FUT9,Blood Group Biosynthesis
GCNT2,Blood Group Biosynthesis
ST3GAL3,Blood Group Biosynthesis
ST3GAL6,Blood Group Biosynthesis
ST8SIA5,Blood Group Biosynthesis
CA1,Carbonic Acid Metabolism
CA12,Carbonic Acid Metabolism
CA13,Carbonic Acid Metabolism
CA14,Carbonic Acid Metabolism
CA2,Carbonic Acid Metabolism
CA3,Carbonic Acid Metabolism
CA4,Carbonic Acid Metabolism
CA5A,Carbonic Acid Metabolism
CA5B,Carbonic Acid Metabolism
CA6,Carbonic Acid Metabolism
CA7,Carbonic Acid Metabolism
CA8,Carbonic Acid Metabolism
CA9,Carbonic Acid Metabolism
CPT1A,Carnitine shuttle
CPT1B,Carnitine shuttle
CPT1C,Carnitine shuttle
CPT2,Carnitine shuttle
CRAT,Carnitine shuttle
SLC22A4,Carnitine shuttle
SLC22A5,Carnitine shuttle
SLC25A20,Carnitine shuttle
ABCA1,Cholesterol Metabolism
CYP51A1,Cholesterol Metabolism
DHCR7,Cholesterol Metabolism
HMGCR,Cholesterol Metabolism
IDI1,Cholesterol Metabolism
IDI2,Cholesterol Metabolism
LCAT,Cholesterol Metabolism
B3GALT6,Chondroitin and Heparan sulfate biosynthesis
B3GAT1,Chondroitin and Heparan sulfate biosynthesis
B3GAT2,Chondroitin and Heparan sulfate biosynthesis
B3GAT3,Chondroitin and Heparan sulfate biosynthesis
B4GALT7,Chondroitin and Heparan sulfate biosynthesis
CHPF,Chondroitin and Heparan sulfate biosynthesis
CHPF2,Chondroitin and Heparan sulfate biosynthesis
CHST11,Chondroitin and Heparan sulfate biosynthesis
CHST12,Chondroitin and Heparan sulfate biosynthesis
CHST13,Chondroitin and Heparan sulfate biosynthesis
CHST3,Chondroitin and Heparan sulfate biosynthesis
CHST7,Chondroitin and Heparan sulfate biosynthesis
CHSY1,Chondroitin and Heparan sulfate biosynthesis
CHSY3,Chondroitin and Heparan sulfate biosynthesis
CSGALNACT1,Chondroitin and Heparan sulfate biosynthesis
CSGALNACT2,Chondroitin and Heparan sulfate biosynthesis
EXT1,Chondroitin and Heparan sulfate biosynthesis
EXT2,Chondroitin and Heparan sulfate biosynthesis
EXTL1,Chondroitin and Heparan sulfate biosynthesis
EXTL2,Chondroitin and Heparan sulfate biosynthesis
EXTL3,Chondroitin and Heparan sulfate biosynthesis
GLCE,Chondroitin and Heparan sulfate biosynthesis
HS2ST1,Chondroitin and Heparan sulfate biosynthesis
HS3ST1,Chondroitin and Heparan sulfate biosynthesis
HS3ST2,Chondroitin and Heparan sulfate biosynthesis
HS3ST3A1,Chondroitin and Heparan sulfate biosynthesis
HS3ST3B1,Chondroitin and Heparan sulfate biosynthesis
HS3ST4,Chondroitin and Heparan sulfate biosynthesis
HS3ST5,Chondroitin and Heparan sulfate biosynthesis
HS3ST6,Chondroitin and Heparan sulfate biosynthesis
HS6ST1,Chondroitin and Heparan sulfate biosynthesis
HS6ST2,Chondroitin and Heparan sulfate biosynthesis
HS6ST3,Chondroitin and Heparan sulfate biosynthesis
NDST1,Chondroitin and Heparan sulfate biosynthesis
NDST2,Chondroitin and Heparan sulfate biosynthesis
NDST3,Chondroitin and Heparan sulfate biosynthesis
NDST4,Chondroitin and Heparan sulfate biosynthesis
UST,Chondroitin and Heparan sulfate biosynthesis
XYLT1,Chondroitin and Heparan sulfate biosynthesis
XYLT2,Chondroitin and Heparan sulfate biosynthesis
ARSB,Chondroitin sulfate degradation
GALNS,Chondroitin sulfate degradation
GLB1,Chondroitin sulfate degradation
GUSB,Chondroitin sulfate degradation
HEXA,Chondroitin sulfate degradation
HEXB,Chondroitin sulfate degradation
IDS,Chondroitin sulfate degradation
IDUA,Chondroitin sulfate degradation
NEU1,Chondroitin sulfate degradation
ALDH1B1,Citric Acid Cycle
GOT1,Citric Acid Cycle
GOT2,Citric Acid Cycle
ACLY,Citric Acid Cycle
ACO1,Citric Acid Cycle
ACO2,Citric Acid Cycle
ALDH4A1,Citric Acid Cycle
ALDH5A1,Citric Acid Cycle
CLYBL,Citric Acid Cycle
CS,Citric Acid Cycle
DLD,Citric Acid Cycle
DLST,Citric Acid Cycle
FAHD1,Citric Acid Cycle
FAH,Citric Acid Cycle
FH,Citric Acid Cycle
HICDH,Citric Acid Cycle
IDH1,Citric Acid Cycle
IDH2,Citric Acid Cycle
IDH3A,Citric Acid Cycle
IDH3B,Citric Acid Cycle
IDH3G,Citric Acid Cycle
IREB2,Citric Acid Cycle
MDH1,Citric Acid Cycle
MDH1B,Citric Acid Cycle
MDH2,Citric Acid Cycle
OGDH,Citric Acid Cycle
PCK1,Citric Acid Cycle
PCK2,Citric Acid Cycle
PDHX,Citric Acid Cycle
SDHA,Citric Acid Cycle
SDHB,Citric Acid Cycle
SDHC,Citric Acid Cycle
SDHD,Citric Acid Cycle
SLC13A2,Citric Acid Cycle
SLC13A3,Citric Acid Cycle
SLC13A5,Citric Acid Cycle
SLC16A1,Citric Acid Cycle
SLC16A7,Citric Acid Cycle
SLC16A8,Citric Acid Cycle
SLC25A1,Citric Acid Cycle
SLC25A10,Citric Acid Cycle
SLC25A11,Citric Acid Cycle
SLC33A1,Citric Acid Cycle
SUCLA2,Citric Acid Cycle
SUCLG1,Citric Acid Cycle
SUCLG2,Citric Acid Cycle
SLC5A6,Citric Acid Cycle
ADSL,Citric Acid Cycle
ACSS1,Citric Acid Cycle
ACSS2,Citric Acid Cycle
DLAT,Citric Acid Cycle
ME1,Citric Acid Cycle
ME2,Citric Acid Cycle
ME3,Citric Acid Cycle
PC,Citric Acid Cycle
PDHA1,Citric Acid Cycle
PDHA2,Citric Acid Cycle
PDHB,Citric Acid Cycle
COASY,CoA Biosynthesis
PANK1,CoA Biosynthesis
PANK2,CoA Biosynthesis
PANK3,CoA Biosynthesis
PANK4,CoA Biosynthesis
PPCDC,CoA Biosynthesis
PPCS,CoA Biosynthesis
SLC25A16,CoA Biosynthesis
SLC5A6,CoA Biosynthesis
VNN1,CoA Biosynthesis
VNN2,CoA Biosynthesis
VNN3,CoA Biosynthesis
CKB,Creatine Metabolism
CKM,Creatine Metabolism
CKMT1B,Creatine Metabolism
CKMT2,Creatine Metabolism
GAMT,Creatine Metabolism
GATM,Creatine Metabolism
ADCY1,Cyclic Nucleotides Metabolism
ADCY10,Cyclic Nucleotides Metabolism
ADCY2,Cyclic Nucleotides Metabolism
ADCY3,Cyclic Nucleotides Metabolism
ADCY4,Cyclic Nucleotides Metabolism
ADCY5,Cyclic Nucleotides Metabolism
ADCY6,Cyclic Nucleotides Metabolism
ADCY7,Cyclic Nucleotides Metabolism
ADCY8,Cyclic Nucleotides Metabolism
ADCY9,Cyclic Nucleotides Metabolism
GUCY1A2,Cyclic Nucleotides Metabolism
GUCY1A3,Cyclic Nucleotides Metabolism
GUCY1B2,Cyclic Nucleotides Metabolism
GUCY1B3,Cyclic Nucleotides Metabolism
GUCY2C,Cyclic Nucleotides Metabolism
GUCY2D,Cyclic Nucleotides Metabolism
GUCY2F,Cyclic Nucleotides Metabolism
NPR1,Cyclic Nucleotides Metabolism
NPR2,Cyclic Nucleotides Metabolism
PDE10A,Cyclic Nucleotides Metabolism
PDE11A,Cyclic Nucleotides Metabolism
PDE1A,Cyclic Nucleotides Metabolism
PDE1B,Cyclic Nucleotides Metabolism
PDE1C,Cyclic Nucleotides Metabolism
PDE2A,Cyclic Nucleotides Metabolism
PDE3A,Cyclic Nucleotides Metabolism
PDE3B,Cyclic Nucleotides Metabolism
PDE4A,Cyclic Nucleotides Metabolism
PDE4B,Cyclic Nucleotides Metabolism
PDE4C,Cyclic Nucleotides Metabolism
PDE4D,Cyclic Nucleotides Metabolism
PDE5A,Cyclic Nucleotides Metabolism
PDE6A,Cyclic Nucleotides Metabolism
PDE6B,Cyclic Nucleotides Metabolism
PDE6C,Cyclic Nucleotides Metabolism
PDE6D,Cyclic Nucleotides Metabolism
PDE6G,Cyclic Nucleotides Metabolism
PDE6H,Cyclic Nucleotides Metabolism
PDE7A,Cyclic Nucleotides Metabolism
PDE7B,Cyclic Nucleotides Metabolism
PDE8A,Cyclic Nucleotides Metabolism
PDE8B,Cyclic Nucleotides Metabolism
PDE9A,Cyclic Nucleotides Metabolism
CYP2A13,CYP Metabolism
CYP2A6,CYP Metabolism
CYP2C18,CYP Metabolism
CYP2C19,CYP Metabolism
CYP2C8,CYP Metabolism
CYP2C9,CYP Metabolism
CYP2D6,CYP Metabolism
CYP2E1,CYP Metabolism
CYP2F1,CYP Metabolism
CYP3A4,CYP Metabolism
CYP3A5,CYP Metabolism
CYP4A11,CYP Metabolism
CYB5D1,CYP Metabolism
CYP1A1,CYP Metabolism
CYP1A2,CYP Metabolism
CYP1B1,CYP Metabolism
AHCY,Cysteine Metabolism
AHCYL1,Cysteine Metabolism
AHCYL2,Cysteine Metabolism
CBS,Cysteine Metabolism
CTH,Cysteine Metabolism
GOT1,Cysteine Metabolism
GOT2,Cysteine Metabolism
LDHAL6A,Cysteine Metabolism
LDHAL6B,Cysteine Metabolism
MPST,Cysteine Metabolism
SLC1A4,Cysteine Metabolism
SLC1A5,Cysteine Metabolism
SLC3A1,Cysteine Metabolism
SLC6A14,Cysteine Metabolism
SLC7A10,Cysteine Metabolism
SLC7A11,Cysteine Metabolism
SLC7A8,Cysteine Metabolism
SLC7A9,Cysteine Metabolism
SUOX,Cysteine Metabolism
TST,Cysteine Metabolism
ADH5,DNA Demethylation
ADH6,DNA Demethylation
TET1,DNA Demethylation
TET2,DNA Demethylation
TET3,DNA Demethylation
TDG,DNA Demethylation
DNMT1,DNA Methylation
DNMT3A,DNA Methylation
DNMT3B,DNA Methylation
DNMT3L,DNA Methylation
TRDMT1,DNA Methylation
DTYMK,DNA Synthesis
NT5M,DNA Synthesis
RRM1,DNA Synthesis
RRM2,DNA Synthesis
TYMS,DNA Synthesis
SLC25A19,DNA Synthesis
AKR1B1,Eicosanoid Metabolism
AKR1A1,Eicosanoid Metabolism
AKR1C4,Eicosanoid Metabolism
CYP4F8,Eicosanoid Metabolism
ABCC4,Eicosanoid Metabolism
ALOX12,Eicosanoid Metabolism
ALOX12B,Eicosanoid Metabolism
ALOX15,Eicosanoid Metabolism
ALOX15B,Eicosanoid Metabolism
ALOX5,Eicosanoid Metabolism
CBR1,Eicosanoid Metabolism
CYP4F12,Eicosanoid Metabolism
CYP4F2,Eicosanoid Metabolism
CYP4F3,Eicosanoid Metabolism
FADS1,Eicosanoid Metabolism
HPGDS,Eicosanoid Metabolism
LTA4H,Eicosanoid Metabolism
LTC4S,Eicosanoid Metabolism
MGST2,Eicosanoid Metabolism
MGST3,Eicosanoid Metabolism
PTGDS,Eicosanoid Metabolism
PTGES,Eicosanoid Metabolism
PTGES2,Eicosanoid Metabolism
PTGIS,Eicosanoid Metabolism
PTGS1,Eicosanoid Metabolism
PTGS2,Eicosanoid Metabolism
SLC22A1,Eicosanoid Metabolism
SLC22A2,Eicosanoid Metabolism
SLC22A3,Eicosanoid Metabolism
SLCO1A2,Eicosanoid Metabolism
SLCO1B1,Eicosanoid Metabolism
SLCO1B3,Eicosanoid Metabolism
SLCO2A1,Eicosanoid Metabolism
SLCO2B1,Eicosanoid Metabolism
SLCO3A1,Eicosanoid Metabolism
SLCO4A1,Eicosanoid Metabolism
TBXAS1,Eicosanoid Metabolism
ADH1A,Ethanol Metabolism
ADH1B,Ethanol Metabolism
ADH1C,Ethanol Metabolism
ADH4,Ethanol Metabolism
ADH7,Ethanol Metabolism
ALDH1A1,Ethanol Metabolism
ALDH1B1,Ethanol Metabolism
ALDH3A1,Ethanol Metabolism
ALDH3B1,Ethanol Metabolism
ALDH3B2,Ethanol Metabolism
AOX1,Ethanol Metabolism
ZADH2,Ethanol Metabolism
ELOVL1,Fatty Acid Biosynthesis
ELOVL2,Fatty Acid Biosynthesis
ELOVL3,Fatty Acid Biosynthesis
ELOVL4,Fatty Acid Biosynthesis
ELOVL5,Fatty Acid Biosynthesis
ELOVL6,Fatty Acid Biosynthesis
ELOVL7,Fatty Acid Biosynthesis
FADS1,Fatty Acid Biosynthesis
FADS2,Fatty Acid Biosynthesis
FADS3,Fatty Acid Biosynthesis
FADS6,Fatty Acid Biosynthesis
FASN,Fatty Acid Biosynthesis
HSD17B12,Fatty Acid Biosynthesis
PTPLA,Fatty Acid Biosynthesis
PTPLAD1,Fatty Acid Biosynthesis
PTPLAD2,Fatty Acid Biosynthesis
PTPLB,Fatty Acid Biosynthesis
SCD,Fatty Acid Biosynthesis
SCD5,Fatty Acid Biosynthesis
SLC25A1,Fatty Acid Biosynthesis
TECR,Fatty Acid Biosynthesis
TECRL,Fatty Acid Biosynthesis
ACACA,Fatty Acid Biosynthesis
ACACB,Fatty Acid Biosynthesis
MCAT,Fatty Acid Biosynthesis
AACS,Fatty Acid Biosynthesis
ALDH3A2,Fatty Acid Metabolism
CYP4F12,Fatty Acid Metabolism
AADAC,Fatty Acid Metabolism
CROT,Fatty Acid Metabolism
LIPC,Fatty Acid Metabolism
MLYCD,Fatty Acid Metabolism
SLC22A4,Fatty Acid Metabolism
SLC22A5,Fatty Acid Metabolism
SLC25A20,Fatty Acid Metabolism
SLC27A1,Fatty Acid Metabolism
SLC27A2,Fatty Acid Metabolism
SLC27A3,Fatty Acid Metabolism
SLC27A4,Fatty Acid Metabolism
SLC27A5,Fatty Acid Metabolism
ACSL1,Fatty Acid Metabolism
ACSL3,Fatty Acid Metabolism
ACSL4,Fatty Acid Metabolism
ACSL5,Fatty Acid Metabolism
ECH1,Fatty Acid Metabolism
PCCA,Fatty Acid Metabolism
PCCB,Fatty Acid Metabolism
ADH1A,"Fatty Acids Oxidation, mitochondrial"
ADH1B,"Fatty Acids Oxidation, mitochondrial"
ADH1C,"Fatty Acids Oxidation, mitochondrial"
ADH5,"Fatty Acids Oxidation, mitochondrial"
ADH6,"Fatty Acids Oxidation, mitochondrial"
ADH7,"Fatty Acids Oxidation, mitochondrial"
ALDH2,"Fatty Acids Oxidation, mitochondrial"
ACAD10,"Fatty Acids Oxidation, mitochondrial"
ACAD11,"Fatty Acids Oxidation, mitochondrial"
ACAD9,"Fatty Acids Oxidation, mitochondrial"
ACADM,"Fatty Acids Oxidation, mitochondrial"
ACADS,"Fatty Acids Oxidation, mitochondrial"
ACADSB,"Fatty Acids Oxidation, mitochondrial"
ECHDC2,"Fatty Acids Oxidation, mitochondrial"
ECHS1,"Fatty Acids Oxidation, mitochondrial"
HADHA,"Fatty Acids Oxidation, mitochondrial"
HADHB,"Fatty Acids Oxidation, mitochondrial"
ACOT2,"Fatty Acids Oxidation, mitochondrial"
ACSM1,"Fatty Acids Oxidation, mitochondrial"
DCI,"Fatty Acids Oxidation, mitochondrial"
ETFA,"Fatty Acids Oxidation, mitochondrial"
ETFB,"Fatty Acids Oxidation, mitochondrial"
ETFDH,"Fatty Acids Oxidation, mitochondrial"
ADH1A,"Fatty Acids Oxidation, peroxisomal"
ADH1B,"Fatty Acids Oxidation, peroxisomal"
ADH1C,"Fatty Acids Oxidation, peroxisomal"
ADH5,"Fatty Acids Oxidation, peroxisomal"
ADH6,"Fatty Acids Oxidation, peroxisomal"
ADH7,"Fatty Acids Oxidation, peroxisomal"
ALDH1A1,"Fatty Acids Oxidation, peroxisomal"
ZADH2,"Fatty Acids Oxidation, peroxisomal"
HSD17B4,"Fatty Acids Oxidation, peroxisomal"
ACOT8,"Fatty Acids Oxidation, peroxisomal"
ACAA1,"Fatty Acids Oxidation, peroxisomal"
ACOX1,"Fatty Acids Oxidation, peroxisomal"
ACOX3,"Fatty Acids Oxidation, peroxisomal"
EHHADH,"Fatty Acids Oxidation, peroxisomal"
PHYH,"Fatty Acids Oxidation, peroxisomal"
HAO1,Folate Metabolism
HAO2,Folate Metabolism
MTR,Folate Metabolism
ALDH1L1,Folate Metabolism
DHFR,Folate Metabolism
FOLR1,Folate Metabolism
FOLR3,Folate Metabolism
FPGS,Folate Metabolism
FTCD,Folate Metabolism
GGH,Folate Metabolism
MTHFD1,Folate Metabolism
MTHFD2,Folate Metabolism
MTHFR,Folate Metabolism
MTHFS,Folate Metabolism
SLC19A1,Folate Metabolism
SLC46A1,Folate Metabolism
AMT,Folate Metabolism
MGAM,Fructose and Mannose Metabolism
FPGT,Fructose and Mannose Metabolism
FUK,Fructose and Mannose Metabolism
GMDS,Fructose and Mannose Metabolism
GMPPA,Fructose and Mannose Metabolism
GMPPB,Fructose and Mannose Metabolism
KHK,Fructose and Mannose Metabolism
MPI,Fructose and Mannose Metabolism
PMM1,Fructose and Mannose Metabolism
PMM2,Fructose and Mannose Metabolism
SLC2A5,Fructose and Mannose Metabolism
SLC2A7,Fructose and Mannose Metabolism
SLC5A10,Fructose and Mannose Metabolism
SLC5A9,Fructose and Mannose Metabolism
SORD,Fructose and Mannose Metabolism
TSTA3,Fructose and Mannose Metabolism
ALDH9A1,GABA shunt
ABAT,GABA shunt
ADHFE1,GABA shunt
AKR7A2,GABA shunt
ALDH4A1,GABA shunt
ALDH5A1,GABA shunt
GAD1,GABA shunt
GAD2,GABA shunt
SLC36A1,GABA shunt
CNDP1,GABA shunt
B4GALT1,Galactose metabolism
B4GALT2,Galactose metabolism
GALE,Galactose metabolism
GALK1,Galactose metabolism
GALK2,Galactose metabolism
GALT,Galactose metabolism
GLB1,Galactose metabolism
LALBA,Galactose metabolism
LCT,Galactose metabolism
NEU1,Galactose metabolism
SI,Galactose metabolism
SLC2A10,Galactose metabolism
SLC2A2,Galactose metabolism
SLC2A3,Galactose metabolism
SLC2A4,Galactose metabolism
SLC2A8,Galactose metabolism
SLC5A1,Galactose metabolism
SLC5A11,Galactose metabolism
SLC5A9,Galactose metabolism
UGP2,Galactose metabolism
ACY1,Glutamate metabolism
ALDH18A1,Glutamate metabolism
ALDH4A1,Glutamate metabolism
GLS,Glutamate metabolism
GLS2,Glutamate metabolism
GLUD1,Glutamate metabolism
GLUD2,Glutamate metabolism
GLUL,Glutamate metabolism
GOT1,Glutamate metabolism
GOT2,Glutamate metabolism
GPT,Glutamate metabolism
GPT2,Glutamate metabolism
NAGS,Glutamate metabolism
SLC17A6,Glutamate metabolism
SLC17A7,Glutamate metabolism
SLC17A8,Glutamate metabolism
SLC1A1,Glutamate metabolism
SLC1A2,Glutamate metabolism
SLC1A3,Glutamate metabolism
SLC1A5,Glutamate metabolism
SLC1A6,Glutamate metabolism
SLC1A7,Glutamate metabolism
SLC25A12,Glutamate metabolism
SLC25A13,Glutamate metabolism
SLC25A18,Glutamate metabolism
SLC25A22,Glutamate metabolism
SLC32A1,Glutamate metabolism
SLC38A1,Glutamate metabolism
SLC38A2,Glutamate metabolism
SLC38A3,Glutamate metabolism
SLC38A4,Glutamate metabolism
SLC38A5,Glutamate metabolism
SLC3A2,Glutamate metabolism
SLC6A1,Glutamate metabolism
SLC6A11,Glutamate metabolism
SLC6A12,Glutamate metabolism
SLC6A13,Glutamate metabolism
SLC7A11,Glutamate metabolism
SLC7A6,Glutamate metabolism
SLC7A7,Glutamate metabolism
OPLAH,Glutamate metabolism
GLRX,Glutathione Metabolism
GLRX2,Glutathione Metabolism
CBS,Glutathione Metabolism
CTH,Glutathione Metabolism
GSR,Glutathione Metabolism
ADH5,Glutathione Metabolism
ESD,Glutathione Metabolism
GCLC,Glutathione Metabolism
GCLM,Glutathione Metabolism
GGT1,Glutathione Metabolism
GPX1,Glutathione Metabolism
GPX2,Glutathione Metabolism
GPX3,Glutathione Metabolism
GPX4,Glutathione Metabolism
GPX5,Glutathione Metabolism
GPX6,Glutathione Metabolism
GPX7,Glutathione Metabolism
GPX8,Glutathione Metabolism
GSS,Glutathione Metabolism
PRDX1,Glutathione Metabolism
PRDX2,Glutathione Metabolism
PRDX3,Glutathione Metabolism
HAGH,Glutathione Metabolism
GSTM1,Glutathione Metabolism
LCAT,Glycerophospholipid Metabolism
ABCB4,Glycerophospholipid Metabolism
ACHE,Glycerophospholipid Metabolism
AGPS,Glycerophospholipid Metabolism
ALPI,Glycerophospholipid Metabolism
ALPL,Glycerophospholipid Metabolism
ALPP,Glycerophospholipid Metabolism
ALPPL2,Glycerophospholipid Metabolism
ATP10A,Glycerophospholipid Metabolism
ATP8A1,Glycerophospholipid Metabolism
CDIPT,Glycerophospholipid Metabolism
CDS1,Glycerophospholipid Metabolism
CDS2,Glycerophospholipid Metabolism
CEPT1,Glycerophospholipid Metabolism
CHAT,Glycerophospholipid Metabolism
CHKA,Glycerophospholipid Metabolism
CHKB,Glycerophospholipid Metabolism
CHPT1,Glycerophospholipid Metabolism
CLC,Glycerophospholipid Metabolism
CRLS1,Glycerophospholipid Metabolism
DGKA,Glycerophospholipid Metabolism
DGKB,Glycerophospholipid Metabolism
DGKD,Glycerophospholipid Metabolism
DGKE,Glycerophospholipid Metabolism
DGKG,Glycerophospholipid Metabolism
DGKH,Glycerophospholipid Metabolism
DGKI,Glycerophospholipid Metabolism
DGKQ,Glycerophospholipid Metabolism
DGKZ,Glycerophospholipid Metabolism
ETNK1,Glycerophospholipid Metabolism
ETNK2,Glycerophospholipid Metabolism
GK,Glycerophospholipid Metabolism
GK2,Glycerophospholipid Metabolism
GK3P,Glycerophospholipid Metabolism
GPD1,Glycerophospholipid Metabolism
LGALS13,Glycerophospholipid Metabolism
PAFAH1B1,Glycerophospholipid Metabolism
PAFAH1B2,Glycerophospholipid Metabolism
PAFAH1B3,Glycerophospholipid Metabolism
PAFAH2,Glycerophospholipid Metabolism
PCYT1A,Glycerophospholipid Metabolism
PCYT1B,Glycerophospholipid Metabolism
PCYT2,Glycerophospholipid Metabolism
PEMT,Glycerophospholipid Metabolism
PGS1,Glycerophospholipid Metabolism
PHOSPHO1,Glycerophospholipid Metabolism
PI4K2A,Glycerophospholipid Metabolism
PIP5K1A,Glycerophospholipid Metabolism
PIP5K1B,Glycerophospholipid Metabolism
PIP5K1C,Glycerophospholipid Metabolism
PISD,Glycerophospholipid Metabolism
PLA2G10,Glycerophospholipid Metabolism
PLA2G12A,Glycerophospholipid Metabolism
PLA2G1B,Glycerophospholipid Metabolism
PLA2G2A,Glycerophospholipid Metabolism
PLA2G2D,Glycerophospholipid Metabolism
PLA2G2E,Glycerophospholipid Metabolism
PLA2G2F,Glycerophospholipid Metabolism
PLA2G4A,Glycerophospholipid Metabolism
