code,Conditions,BiolgicalReplicate,AverageCellNumber,DryWeightGenerated,DryWeight_t=24h,valine-d8,hipppuric acid-d5,2-hydroxyglutarate,2-ketoglutarate,3-Dehydro-L-threonate,acetylcarnitine,acetylcholine,acetylornithine,aconitate,alanine,arginine,asparagine,aspartate,betaine,butyryl-carnitine,carbamoyl phosphate,carnitine,citrulline,creatine,creatinine,cystine,dihydroorotate,fumarate,gluconate,glucose,glutamate,glutamine,glycerylphosphorylcholine,glycine,histidine,hydroxyphenyllactic acid,hydroxyphenylpyruvate,hydroxyproline,hypotaurine,hypoxanthine,isovalerylcarnitine,KMV+KIC,lactate,leucine+isoleucine,linoleic acid,lysine,malate,methionine,methylarginine,methylaspartate,myo-inositol,N-acetylaspartate,N-acetylaspartylglutamate,N-acetylglutamate,N-acetylneuramic acid,oleic acid,ornithine,orotate,palmitate,pantothenate,phenylalanine,phosphocholine,proline,propionylcarnitine,pyroglutamic-acid,pyruvate,S-(2-succinyl)cysteine,serine,stearic acid,succinate,succinyladenosine,taurine,threonine,tryptophan,tyrosine,uric acid,valine,xanthine
MS51-12,786-O CCM,2,4.525,95.12966941,297.3423432,825462964.5,3218049751,62100209.8,195308040.4,484681098.8,50323549596,43739146.8,207202272.3,25395391.3,1308122445,3727423144,153558006.1,181462817.2,37706922367,102703197.8,85847131.1,10842695356,2255688646,26294975878,18070923937,237685074.1,1192619.4,37287183.1,229140704.1,613247406.4,2133938060,2207685458,351474112.6,17362598.7,13868930005,20911344.7,899008.8,1182798017,147722.3,3658103.2,23050144.5,132378677.7,11035459612,5333547413,677407.1,1464986547,497030459.1,797453445.9,110674855.1,2150826048,168046368.3,17480496,0,5965770.2,34551648.6,11977253.9,96074420.2,16995348.3,28687639.2,633679990.5,3092149272,14422984.9,28120757118,134207385.1,4211124296,532129639.8,157810.3,60323863.8,21825521,228858901.2,1062152.5,4863144434,2032578427,4171355250,3306357432,6757963156,3572452611,364624657.3
MS51-13,786-O CCM,3,4.525,95.12966941,297.3423432,805520323.8,3211192587,58682639.7,195377536.9,446571332,50020458838,44197934.8,206714796.5,25370518.6,1298175649,3528586840,154719396.9,167844328.3,38566699053,109504914.4,87274090.2,10995767594,2241377485,25895112020,18551795541,226510286.2,1306953.1,34302403.7,203237175.4,585832863.9,2139546081,2149690250,342492878.2,16616608.5,13508033939,20725516.3,922086.8,1130253598,211514.2,3234948.2,24621373.3,139004915.4,11245841576,5222610545,624440.5,1346268484,460051774.2,784753219.3,102715956.1,2156216235,169410344.9,17147134.3,0,5603213.8,32747261.8,14431978.4,88221498.3,16110273.2,31976599.9,642864489.2,3068522133,13924738.1,28158107678,137673381.8,4237552763,556655941.3,208392.4,56873918.8,32034621.9,228551852.6,1106473.1,4541221150,1998874981,4141940616,3254945379,6658533439,3579060173,368368682.9
MS51-14,786-O CCM,4,4.525,95.12966941,297.3423432,786089937.4,3161475388,61019604.4,182007804.3,438547322.2,49629598692,41482401.2,204424088.9,27874978,1238057549,2499911375,148694666.1,174295683.4,36951237705,105315752.1,85979149.7,10486271985,2165494044,24988629169,18134448426,228096740.9,1077073.6,34262503,198257954.5,603194400.9,2088547978,2104362978,341280666.2,16953118.3,13178386091,21216355.8,926441.5,1173990129,130116.5,3075319.6,25136000,134576792.9,11302957075,5075854614,628132.7,1218590111,453126010.9,757982785.8,68430382.4,2101112268,160544721.6,17201243.3,0,4537987.2,35210770.8,11110895.6,60710418.8,15750356.4,17302155,619128478.2,2907686640,14304669.7,27021210080,134345487.5,4042157593,563406022.6,0,56972170,11046656.1,227392437,1086769.7,4668155892,1937186458,4002111260,3289395144,6361994365,3383454364,379398647.6
MS51-15,786-O CCM,5,4.525,95.12966941,297.3423432,755901042,3126242318,52571770.9,179344618.6,385108767.5,48163345184,40235584.7,199673443.2,23660147.4,1180842249,3105172243,145040920.8,155644314.5,36673534103,102734773.4,86435590.4,10311579650,2027442082,23608328145,16973586595,215976478.2,1199223.1,30443143.6,178684851.5,575238481.2,2048173808,2079516399,304494543.5,16207764,12669477722,20302877.2,861511.9,1077501458,228488.7,2791067,23058728.6,134993105.1,10745793653,5023098036,586203.4,1281443544,394429788.1,753983842.1,89323819.3,2062109483,168255717.6,14827459.3,0,5140676.1,31920482.3,10412779.3,75204483.8,16342462.8,19272307.4,602450618.1,2888409461,12060756.9,26486319840,130172053.5,3972046109,535031120.8,0,54824038.6,13853987.6,211783066.6,1316461,4585902349,1809407451,3974896715,3060495727,6448189781,3317329636,348205640.4
MS51-16,786-M1A CCM,1,5,120.6779412,304.858701,756953269.6,3072198214,76125404.7,219978652.4,565406728.2,50950619956,43929606.6,204856661,24820868.5,1237619049,3780340084,161542965.3,155702600.7,38586423381,110895977.6,87788453.9,10924265616,2107063030,25045218347,17824211910,249099024.1,1309853.8,43600653.2,243260995.7,542845212.6,2065630821,2078127142,318967568.7,16340977.3,13340062361,20072262.5,771926.3,1125742749,132301.9,1569739,24401264.1,131612115.7,12744358021,5170582030,361976.6,1416907812,581744434.2,740784853.4,105819113.2,2077776378,154272245.4,11517659,0,5071210.2,34832776.9,8451766.7,100914880.2,21369789.1,17206539.2,647561250.5,3051841020,8938528.6,27926295415,131491266.5,4171450642,554821897.9,264998.8,59257667.9,11805106.6,221430415.1,1134250.5,4526162004,1876448130,4266715701,3247903611,6649782125,3436696353,350072192.6
MS51-17,786-M1A CCM,2,5,120.6779412,304.858701,856428143.7,3367225503,71136029.7,209473799.4,547648446.5,52646176375,44538175.8,203404080.5,23883934.9,1324957049,3617736801,164769986.8,151756205.7,39299440548,118507848.4,91117171.4,11227152554,2251679838,26064301017,18537614654,239893518.6,1162463.1,41562913,211903364.3,570749294.9,2122212796,2174725174,343515758.4,17164619.7,13664980117,20517977.2,912499.3,1154354641,107936.3,1206282.6,27086445.6,129756419.8,13533920380,5402566433,491543.7,1459914828,562919862.8,785526411.6,98065661.5,2144696079,171391225,10653072.6,0,5702205.2,33221232.7,14309106.9,93922906.3,21565327.8,22048366.4,677358927.3,3017205641,9154451.1,28934890169,139004237.1,4240673887,548266873.8,231470.7,62759620.1,16837935.2,247576529,1332887.6,4691188528,2029346261,4372091334,3423311958,7162509829,3661773048,380239247.8
MS51-18,786-M1A CCM,3,5,120.6779412,304.858701,796271826,3215063853,64936763.5,189803753.4,484902071.1,49801241726,42850017.1,195827029.6,22267994,1268467436,2484304995,161693252.8,140841620.8,37489201868,105820211.3,89822044.5,10380031539,1976525172,25399376557,18213863319,221321919.6,1339403.9,37441459.4,212373777,536380186.3,2002448347,2035627539,326429147.3,17680842.3,13089646876,20898755.3,832858.6,1158563573,180553.8,1392823.7,24486766.1,124366435.3,12689715546,4934141194,323387.1,1160719337,497807870.8,698452910.1,65465184.1,2014621227,165635647.9,9138061.8,0,4485840.7,32791102.6,7594840.8,59634658.4,19505325.7,17531185.7,631687192,2860176112,7843080.1,27281381400,133113447,3922866226,506428184.2,181197.2,57886196.1,12353534.3,230213549.6,1143763.4,4421890349,1795969756,3997148245,3195128051,6236767300,3312615512,374367101.3
MS51-19,786-M1A CCM,4,5,120.6779412,304.858701,782205039.8,3102504573,59686699.6,197240316.9,473463357.7,49737954199,41944973.5,205829945.8,21245156.1,1257531834,3449591492,156494489.4,144560985.8,37704291764,108082743.4,86350597.5,10356869331,1969206993,25095919321,17669949563,229461240,1108413.7,36975098.9,181369068.2,532007226.5,2041571771,2044601678,304863104.9,16258969.7,12951546021,21843783.8,781458.4,1025984987,193016.8,1598800.8,23414353.1,124342265.2,12434211788,4972918735,388311.4,1365902826,486620800.2,701523939.4,95307443.9,2054220374,174243057.7,9181825.8,0,4761903,31372880.8,7941062.8,88936843.1,20328288.7,15068206.9,619252542.8,2873683764,8356353.1,26993049838,131377819.6,4026966124,533643610.6,181052.8,55576551.2,13929818.7,218103224.5,1104057.3,4458550182,1819205257,4022461318,3109524746,6583281917,3347391594,354380114.2
MS51-20,786-M1A CCM,5,5,120.6779412,304.858701,802849590.5,3172290033,74752976.5,205308841.9,601491116.1,52849430291,44187686.9,208809253.7,23887148.2,1358540319,4014834006,168282438.5,160839038.4,39210576997,105435803.3,90352774.3,11286509541,2183746254,26968481823,18984662914,250604055.1,1373550.6,46072000.3,390277975.5,570010315.6,2152582870,2145128519,341258954,17673571.4,13969809103,21291806.6,759551.4,1197877380,145920,1192468.4,21441036.2,136168028.7,13211934190,5359862676,459486.3,1574928649,614242968.2,769533814.9,108936162.1,2171118411,167553007.2,10859315.8,0,5420390.7,33056330,8332801.8,110654921.1,21237377.5,26392885.6,696152597.1,3059346816,10731666.8,29049993596,142217746.7,4191917618,555545380.3,169195.3,62687305.3,22824069.6,243102583.1,1283493.3,4842491026,2008123253,4356609157,3417793611,6896489371,3599163644,380561127.3
MS51-21,786-M2A CCM,1,3.875,118.168408,369.2863745,816938427.6,3067962686,68238448.8,222159728.9,415993490.6,49299016751,42306083.8,199137822.8,30436801.2,1302803176,2525877805,176298432.1,116837731.2,36721707751,92768743.7,86239503.9,9945161849,1870272646,24873827474,17809447262,220272229.9,834058.9,32361822,181976576.7,554867909.8,1989345980,1846146821,392423796.6,16046275.9,12379204813,21014372.5,1008169.3,1115566560,99716.3,2291899.1,25289836.8,175790187.2,12374668241,4871463567,375337,1136559466,426584001.5,756227167.5,57958815.4,2001491389,155708087.1,8821943,0,4484634.1,31648172.8,9319179.9,45920964.2,13976211.3,19218641.1,589423826.1,2965292655,10627172.1,26746630012,128695935.4,3789224275,499678228,138232.1,63421717.4,18429178,215335938.8,1021605.3,4273926841,1791788216,3929817363,3143481047,5909729188,3275919999,340523470
MS51-23,786-M2A CCM,2,3.875,118.168408,369.2863745,885805000.7,3477824009,80382843.7,243505704.4,544262967.5,52959717010,47443979.9,202295858.8,34661900,1368433744,3815022333,201947702.4,143467142.1,39966285152,105334488.1,90094063.6,11439698362,2150898615,26839426533,19015601132,252083133.9,935370,41215227.6,228987003,624557296.3,2328696871,2225669815,412355334,16815505.4,14026731402,22359102.2,1062451.3,1261053790,169225.9,2822131.8,27916460.7,188622207.7,12823439956,5418713263,442429.3,1502988534,557764439.6,864465653.5,97203954.4,2349894062,164877324.4,11763520.4,0,6775176.4,36893103.7,10744219,92969963.2,14811879.7,23033861.9,691480352.4,3274465864,13465464.8,28753859687,146059955.9,4374337723,530486161.9,0,75017137.3,15891493.8,245036916.5,1144467,5122168137,2090988385,4428196906,3605480887,7240057488,3777262400,394537356.8
MS51-24,786-M2A CCM,3,3.875,118.168408,369.2863745,811768249.8,3263829329,81046932.5,254731697.4,554260354.7,55883003442,47724857.2,209497829.2,35498271.5,1406912192,4183411743,209265313.5,153338998.8,41111664477,111659455.5,92308760.2,12121106943,2217696706,27385107022,19583049859,270221979.7,871025,42841086.4,223929713.7,617602679.8,2407558814,2259602400,423687003.1,17348286.1,14620037893,24265764.5,795544,1146622671,243708.8,3332097.9,29787521.5,200215676,13268051583,5578104227,482996.9,1573478783,568225805.1,908167949.7,109329503.3,2425683239,173676437.4,11627243.5,0,6452781,36513591.9,9673318.1,94734942.1,15398239.7,16355253.1,715234128.9,3465003116,14035600.3,30233247668,153984397.8,4555338425,572663340.7,186005.8,76556470,14679442.2,256254989.9,1264215.8,5103864529,2236223340,4751285783,3681263995,7340372097,3928074076,399481437
MS51-25,786-M2A CCM,4,3.875,118.168408,369.2863745,759402911.5,3116430899,72724772.8,242486561.2,500416354,52586688505,44514871.8,205995450.3,27634463.2,1317015602,3968216620,195393961.8,145935806.9,38954574372,104363364.4,89866924.4,11181348126,2079667371,25632153417,18023478366,260676240.5,962766.3,38306806.8,203699751.3,591444606.1,2270108145,2164433498,386916851.3,15053900.2,13760916843,22800102.3,934991.5,1170116118,0,2907348.4,27070874.1,185621722.6,12396758325,5345672785,524499.6,1527238408,513274569.4,864152279.8,100133204.1,2284597095,167261449.4,11192591.5,0,5576865.4,34485595.8,7780882,80786736.2,14565773.7,14986799.2,670547245.5,3394821480,12400361.8,28212169118,144218402.7,4274735053,560811030.8,303451,70191141.2,11889447.6,228780809.9,1258137.8,4737931365,2032596866,4472231165,3417183858,6827997655,3687439372,371047318
MS51-26,OSRC2 CCM,1,3.825,118.168408,229.3156319,758124731.9,3165068173,66494663.2,127707338.6,298880607.8,53238790307,45037734.2,203141933.2,22518276.2,1160476542,4088669280,182501118.1,158200011.4,38826241515,94898806.9,92824230.9,11541906983,2367874082,24966879270,18515625277,229018301,729256.2,22410155.7,347784773.9,654986358.6,1952689510,3048146703,336851835.8,16031454.9,14096733201,23733976.9,949789.7,1211861110,170204,2395396.2,21564716,86566524.6,12269920803,6290604767,883582.1,1575317799,311073567.9,825118295.5,103292351.5,1964466089,189298522.7,9198193.6,0,3533648.1,37036815.3,13333462.9,107637578.1,5822133.3,38485221,705242473.9,3529758604,21594735.1,28106243311,135260024.7,4606845393,348974332.1,313503.7,86408853.4,19189093.4,298461633.5,1237951.7,4981090572,2196533806,4673711114,3688737694,7221034788,3936660166,390701082.7
MS51-27,OSRC2 CCM,2,3.825,118.168408,229.3156319,788169982.6,3096800265,79382747,135880374.9,350603467.6,55434484390,49041642.1,212300566.4,20603008.2,1204630540,4520258189,189833535.4,175035917.4,40187530284,108148810.1,90962548.7,12033031322,2494522832,26092339767,19126091434,243614311.2,751209.7,26451054,240073415.8,697769018.9,2098495996,3264833170,355417653.4,17554560.8,14874765379,26190840.6,976873.6,1277496401,145996.5,2175970.6,27363176.2,87469388.7,12442080257,6702270107,846279.1,1748374046,365712626.7,907221061,115934811.6,2110932568,179995294.9,11102816.9,0,4774616.7,38782555.5,15946834.1,132170467.6,6212768.5,34742290.8,706073203.9,3577290015,24564446.3,29163116997,148520655.7,4819062129,350804702.3,332759.6,92936598.6,15513640.8,313563865.4,1872925.7,5047822584,2446154163,4959890239,3886948433,7427264749,4245012878,384960894.5
MS51-28,OSRC2 CCM,3,3.825,118.168408,229.3156319,799185819.6,3274297683,99831774.7,140199832.6,463696962.4,57153182981,50247072.1,223998951.5,26011877.5,1286681910,4887626876,199920578.2,190698780.9,41271340956,110834892.4,95957944.4,12661041846,2679136463,28205105757,20146923584,267971575.4,624097.3,35080051.6,276733326.1,736225732,2188728011,3390843129,401199662.6,18457971.5,15820956884,27721799.6,947401.4,1406076879,226791.1,2637919.4,30471654.1,89719196.4,12456849057,7002005672,1011255.2,1937664707,481617698.7,993662197,121774353.7,2205997191,168315911.7,12510936.5,0,5416759.7,44544657.3,16935978.4,179410422.2,5785267.7,33974994.8,752008296.8,3923649074,26177584.4,30545596816,155141207.9,5060933153,356950638.2,228623.1,106034117.8,18603179,317002948,1643591.3,5479764032,2537811276,5161757046,4192694569,7639780386,4483773111,401562086.9
MS51-29,OSRC2 CCM,4,3.825,118.168408,229.3156319,820554772.1,3250643290,83021563.5,126994354.3,407958465.6,57264571365,48466905.1,218441972,22690518.2,1244424788,4636720271,204018560.8,190622478,41283050207,112717413.4,94883489.3,12490580243,2614422607,27221610854,19826956291,256185038.1,560981.1,31014085.8,270088238.4,740752808,2187315215,3422143259,377775444.5,17191243.9,15550653737,26254785.3,1076874.9,1321850478,199442.1,2273120.9,30117557.3,89715377.1,12587497904,6947483502,983657.8,1867376775,421960478.6,1003015965,121621102.1,2205474402,185354963.4,11612881.9,0,5825006.7,43317881.7,15249065.5,160154263.6,5722426,33726286.6,754545779.1,3872557183,26079525.3,30803607575,157776897.6,4970261280,351595865.2,288211.2,96473380,19955622.2,321781495.9,1243677.3,5540811508,2478076729,5111636616,4136262477,7626084331,4415327240,408929777.9
MS51-30,OSRC2 CCM,5,3.825,118.168408,229.3156319,807779396.5,3227322171,59927205.1,125080684.4,313389407.3,55595142210,49307216.4,214936346.8,21192234.1,1230853787,4340555081,192340021.3,164591729.9,40034341797,104954245,90302597.8,12301249406,2412049546,26847188031,19582949134,230096113.2,516433.2,23996532.7,238292126.3,716564696.9,2088319557,3303123009,359462008.7,18278263.9,15211240544,25495443.9,911545,1339889355,224977.1,2364026.5,27709453.3,86425684.1,11724867278,6592263339,1044278.9,1671797617,324087351,965944149.8,107926538,2104052253,194835933.7,9841284.3,0,5190402.7,41629110.6,15004293.7,123044409.6,5302897.1,29606123.5,720784538.8,3762307132,21824511.8,29545503771,148516759.4,4938870910,330521885.2,312692.7,92781558.2,15837430.7,307613555.7,1082056,5444444148,2428205274,4949625642,3957227645,7359836674,4313675898,404474152
MS51-31,OSLM1B CCM,1,4.3,88.76402431,238.0439107,790870942.7,3089557414,52213567,105135958,251514868.7,53396424709,45283599,210335765.4,27020186.1,1136562889,3008098815,189699625.8,185075660.2,39882609339,146152462.8,93403678.1,13545649396,2399094572,25236293619,19613097124,260474266.8,377263.9,19254753.1,228954392.3,812453354,1989313169,3329497638,319698955.2,16995820,14437770618,25567132.6,869527.1,1416759489,200462,3867689.9,26869611.3,67759327.8,9005579329,6843896634,741759.6,1427352774,262362373.5,1061951751,65609668.1,2001086019,177421095.2,9074233,0,4192835.1,41976370.3,13859207.2,49374789.7,8876163.7,33881565,692371901.5,3711781337,31488505.7,27953085949,170500172.5,4797137450,477287541.2,191115.7,93921565.4,11804800.1,279247466.6,1011489.3,5152911807,2382726002,4741504594,4013198975,6774983785,4137196991,423582101.9
