"","Metabolite","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM","KEGG","HMDB"
"1","1,2-propanediol","57-55-6;","Lipid","Ketone bodies","38002","GC/MS","1041","117",NA,"C00583","HMDB01881"
"2","1,3-dihydroxyacetone","62147-49-3;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","35963","GC/MS","1263","103","670","C00184","HMDB01882"
"3","1,5-anhydroglucitol (1,5-AG)","154-58-5;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","20675","GC/MS","1788.7","217",NA,"C07326","HMDB02712"
"4","1-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid","33228","LC/MS Pos","5554","544.29999999999995",NA,"C05208",NA
"5","1-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","35186","LC/MS Neg","5731","500.3",NA,NA,"HMDB11517"
"6","1-arachidonoylglycerophosphoinositol*",NA,"Lipid","Lysolipid","34214","LC/MS Neg","5479","619.4",NA,NA,NA
"7","1-arachidonylglycerol",NA,"Lipid","Monoacylglycerol","34397","GC/MS","2226","203.1","53480981","C13857","HMDB11572"
"8","1-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid","33822","LC/MS Pos","5518","568.4",NA,NA,NA
"9","1-heptadecanoylglycerophosphocholine","50930-23-9;","Lipid","Lysolipid","33957","LC/MS Pos","5750","510.4",NA,NA,"HMDB12108"
"10","1-heptadecanoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","37419","LC/MS Neg","6029","466.3",NA,NA,NA
"11","1-linoleoylglycerol (1-monolinolein)","2277-28-3;","Lipid","Monoacylglycerol","27447","GC/MS","2181","395.3","5283469",NA,NA
"12","1-linoleoylglycerophosphocholine",NA,"Lipid","Lysolipid","34419","LC/MS Pos","5574","520.4","5280646","C04100",NA
"13","1-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","32635","LC/MS Neg","5725","476.3",NA,NA,"HMDB11507"
"14","1-methylimidazoleacetate","2625-49-2 ;","Amino acid","Histidine metabolism","32350","LC/MS Pos","845","141.1","75810","C05828","HMDB02820"
"15","1-myristoylglycerophosphocholine","20559-16-4;","Lipid","Lysolipid","35626","LC/MS Pos","5481","468.3","460604",NA,"HMDB10379"
"16","1-myristoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid","35627","LC/MS Pos","5481","426.1","9547070",NA,"HMDB11500"
"17","1-oleoylglycerol (1-monoolein)","111-03-5;","Lipid","Monoacylglycerol","21184","GC/MS","2181.1999999999998","397.4","5283468",NA,"HMDB11567"
"18","1-oleoylglycerophosphocholine","19420-56-5;","Lipid","Lysolipid","33960","LC/MS Pos","5700","522.4","16081932",NA,NA
"19","1-oleoylglycerophosphoethanolamine","89576-29-4;","Lipid","Lysolipid","35628","LC/MS Neg","5928","478.3","9547071",NA,"HMDB11506"
"20","1-oleoylglycerophosphoinositol*",NA,"Lipid","Lysolipid","36602","LC/MS Neg","5577","597.4",NA,NA,NA
"21","1-oleoylglycerophosphoserine",NA,"Lipid","Lysolipid","19260","LC/MS Neg","5690","522.29999999999995","9547099",NA,NA
"22","1-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","33230","LC/MS Pos","5524","494.3",NA,NA,NA
"23","1-palmitoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","34565","LC/MS Pos","5521.4","452.3",NA,NA,NA
"24","1-palmitoylglycerol (1-monopalmitin)","542-44-9;","Lipid","Monoacylglycerol","21127","GC/MS","2119.5","371.3","14900",NA,NA
"25","1-palmitoylglycerophosphocholine","17364-16-8;","Lipid","Lysolipid","33955","LC/MS Pos","5671","496.4","86554",NA,NA
"26","1-palmitoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid","35631","LC/MS Neg","5940","452.3","9547069",NA,"HMDB11503"
"27","1-palmitoylglycerophosphoinositol*",NA,"Lipid","Lysolipid","35305","LC/MS Neg","5573","571.29999999999995",NA,NA,NA
"28","1-palmitoylplasmenylethanolamine*",NA,"Lipid","Lysolipid","39270","LC/MS Neg","6153","436.4",NA,NA,NA
"29","1-pentadecanoylglycerophosphocholine*",NA,"Lipid","Lysolipid","37418","LC/MS Pos","5563","482.3",NA,NA,NA
"30","1-stearoylglycerol (1-monostearin)","123-94-4;","Lipid","Monoacylglycerol","21188","GC/MS","2186.6","399.4","24699","D01947",NA
"31","1-stearoylglycerophosphocholine","19420-57-6;","Lipid","Lysolipid","33961","LC/MS Pos","5844","524.4","497299",NA,NA
"32","1-stearoylglycerophosphoethanolamine","69747-55-3;","Lipid","Lysolipid","34416","LC/MS Pos","5842","482.3","9547068",NA,"HMDB11130"
"33","1-stearoylglycerophosphoinositol","796963-93-4;","Lipid","Lysolipid","19324","LC/MS Neg","5800","599.4",NA,NA,NA
"34","10-heptadecenoate (17:1n7)","29743-97-3;","Lipid","Long chain fatty acid","33971","LC/MS Neg","5558","267.3","5312435",NA,NA
"35","10-nonadecenoate (19:1n9)","73033-09-7;","Lipid","Long chain fatty acid","33972","LC/MS Neg","5775","295.39999999999998","5312513",NA,NA
"36","13-HODE + 9-HODE",NA,"Lipid","Fatty acid, monohydroxy","37752","LC/MS Neg","5247","295.2",NA,NA,NA
"37","15-methylpalmitate (isobar with 2-methylpalmitate)",NA,"Lipid","Fatty acid, branched","38768","LC/MS Neg","5698","269.39999999999998",NA,NA,NA
"38","16-hydroxypalmitate","506-13-8;","Lipid","Fatty acid, monohydroxy","39609","LC/MS Neg","5232","271.3","10466","C18218",NA
"39","2'-deoxyadenosine 3'-monophosphate","102832-10-0;","Nucleotide","Purine metabolism, adenine containing","40663","LC/MS Pos","1383.5","332.1","1467",NA,NA
"40","2'-deoxycytidine 3'-monophosphate","6220-63-9;","Nucleotide","Pyrimidine metabolism, cytidine containing","40453","LC/MS Pos","1048","308","3274948",NA,NA
"41","2'-deoxyguanosine","961-07-9;","Nucleotide","Purine metabolism, guanine containing","1411","LC/MS Pos","1728","268","187790","C00330","HMDB00085"
"42","2'-deoxyinosine","890-38-0;","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing","15076","LC/MS Neg","1700","251.1","65058","C05512","HMDB00071"
"43","2-aminoadipate","542-32-5;1118-90-7;","Amino acid","Lysine metabolism","6146","GC/MS","1686.5","260.10000000000002","469","C00956","HMDB00510"
"44","2-aminobutyrate","1492-24-6;","Amino acid","Butanoate metabolism","1577","GC/MS","1215.7","130","439691","C02261","HMDB00650"
"45","2-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35256","LC/MS Pos","5524","544.29999999999995",NA,NA,NA
"46","2-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","32815","LC/MS Neg","5674","500.3",NA,NA,NA
"47","2-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35883","LC/MS Pos","5507","568.29999999999995",NA,NA,NA
"48","2-docosahexaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","34258","LC/MS Pos","5512","526.20000000000005",NA,NA,NA
"49","2-docosapentaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid","37366","LC/MS Pos","5532","570.29999999999995",NA,NA,NA
"50","2-docosapentaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","34875","LC/MS Pos","5548","528.20000000000005",NA,NA,NA
